Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","CYP","Chypre","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1081.563","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","COL","Colombie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","44254.975","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","COM","Comores","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","657.229","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","COG","Congo","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4011.486","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4463.125","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","19605.569","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","HRV","Croatie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4352.636","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","CUB","Cuba","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","11236.971","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","DNK","Danemark","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5497.729","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","DJI","Djibouti","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","816.358","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","DMA","Dominique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","70.827","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","EGY","Égypte","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","79636.079","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","SLV","El Salvador","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6131.764","X","Sources internationales sûres",""
